idx,kucode,kuname
0,101,北海道1区
1,102,北海道2区
2,103,北海道3区
3,104,北海道4区
4,105,北海道5区
5,106,北海道6区
6,107,北海道7区
7,108,北海道8区
8,109,北海道9区
9,110,北海道10区
10,111,北海道11区
11,112,北海道12区
12,201,青森1区
13,202,青森2区
14,203,青森3区
15,301,岩手1区
16,302,岩手2区
17,303,岩手3区
18,401,宮城1区
19,402,宮城2区
20,403,宮城3区
21,404,宮城4区
22,405,宮城5区
23,501,秋田1区
24,502,秋田2区
25,503,秋田3区
26,601,山形1区
27,602,山形2区
28,603,山形3区
29,701,福島1区
30,702,福島2区
31,703,福島3区
32,704,福島4区
33,801,茨城1区
34,802,茨城2区
35,803,茨城3区
36,804,茨城4区
37,805,茨城5区
38,806,茨城6区
39,807,茨城7区
40,901,栃木1区
41,902,栃木2区
42,903,栃木3区
43,904,栃木4区
44,905,栃木5区
45,1001,群馬1区
46,1002,群馬2区
47,1003,群馬3区
48,1004,群馬4区
49,1005,群馬5区
50,1101,埼玉1区
51,1102,埼玉2区
52,1103,埼玉3区
53,1104,埼玉4区
54,1105,埼玉5区
55,1106,埼玉6区
56,1107,埼玉7区
57,1108,埼玉8区
58,1109,埼玉9区
59,1110,埼玉10区
60,1111,埼玉11区
61,1112,埼玉12区
62,1113,埼玉13区
63,1114,埼玉14区
64,1115,埼玉15区
65,1116,埼玉16区
66,1201,千葉1区
67,1202,千葉2区
68,1203,千葉3区
69,1204,千葉4区
70,1205,千葉5区
71,1206,千葉6区
72,1207,千葉7区
73,1208,千葉8区
74,1209,千葉9区
75,1210,千葉10区
76,1211,千葉11区
77,1212,千葉12区
78,1213,千葉13区
79,1214,千葉14区
80,1301,東京1区
81,1302,東京2区
82,1303,東京3区
83,1304,東京4区
84,1305,東京5区
85,1306,東京6区
86,1307,東京7区
87,1308,東京8区
88,1309,東京9区
89,1310,東京10区
90,1311,東京11区
91,1312,東京12区
92,1313,東京13区
93,1314,東京14区
94,1315,東京15区
95,1316,東京16区
96,1317,東京17区
97,1318,東京18区
98,1319,東京19区
99,1320,東京20区
100,1321,東京21区
101,1322,東京22区
102,1323,東京23区
103,1324,東京24区
104,1325,東京25区
105,1326,東京26区
106,1327,東京27区
107,1328,東京28区
108,1329,東京29区
109,1330,東京30区
110,1401,神奈川1区
111,1402,神奈川2区
112,1403,神奈川3区
113,1404,神奈川4区
114,1405,神奈川5区
115,1406,神奈川6区
116,1407,神奈川7区
117,1408,神奈川8区
118,1409,神奈川9区
119,1410,神奈川10区
120,1411,神奈川11区
121,1412,神奈川12区
122,1413,神奈川13区
123,1414,神奈川14区
124,1415,神奈川15区
125,1416,神奈川16区
126,1417,神奈川17区
127,1418,神奈川18区
