pref_code,pref_name,muni_code,muni_name,party_name,votes,valid_votes
09,栃木県,09201,宇都宮市,中道改革連合,38661,218463
09,栃木県,09201,宇都宮市,日本保守党,4972,218463
09,栃木県,09201,宇都宮市,チームみらい,16410,218463
09,栃木県,09201,宇都宮市,自由民主党,82056,218463
09,栃木県,09201,宇都宮市,日本維新の会,18066,218463
09,栃木県,09201,宇都宮市,れいわ新選組,6289,218463
09,栃木県,09201,宇都宮市,社会民主党,2667,218463
09,栃木県,09201,宇都宮市,日本共産党,5646,218463
09,栃木県,09201,宇都宮市,参政党,18649,218463
09,栃木県,09201,宇都宮市,国民民主党,22292,218463
09,栃木県,09201,宇都宮市,減税日本・ゆうこく連合,2755,218463
09,栃木県,09202,足利市,中道改革連合,9545,56021
09,栃木県,09202,足利市,日本保守党,1289,56021
09,栃木県,09202,足利市,チームみらい,3443,56021
09,栃木県,09202,足利市,自由民主党,22684,56021
09,栃木県,09202,足利市,日本維新の会,2560,56021
09,栃木県,09202,足利市,れいわ新選組,2000,56021
09,栃木県,09202,足利市,社会民主党,770,56021
09,栃木県,09202,足利市,日本共産党,1986,56021
09,栃木県,09202,足利市,参政党,5301,56021
09,栃木県,09202,足利市,国民民主党,5695,56021
09,栃木県,09202,足利市,減税日本・ゆうこく連合,748,56021
09,栃木県,09203,栃木市,中道改革連合,10774,62767
09,栃木県,09203,栃木市,日本保守党,1372,62767
09,栃木県,09203,栃木市,チームみらい,3526,62767
09,栃木県,09203,栃木市,自由民主党,26276,62767
09,栃木県,09203,栃木市,日本維新の会,2608,62767
09,栃木県,09203,栃木市,れいわ新選組,2184,62767
09,栃木県,09203,栃木市,社会民主党,981,62767
09,栃木県,09203,栃木市,日本共産党,2006,62767
09,栃木県,09203,栃木市,参政党,5597,62767
09,栃木県,09203,栃木市,国民民主党,6686,62767
09,栃木県,09203,栃木市,減税日本・ゆうこく連合,757,62767
09,栃木県,09204,佐野市,中道改革連合,8237,46687
09,栃木県,09204,佐野市,日本保守党,1048,46687
09,栃木県,09204,佐野市,チームみらい,2650,46687
09,栃木県,09204,佐野市,自由民主党,18837,46687
09,栃木県,09204,佐野市,日本維新の会,2303,46687
09,栃木県,09204,佐野市,れいわ新選組,1586,46687
09,栃木県,09204,佐野市,社会民主党,660,46687
09,栃木県,09204,佐野市,日本共産党,1875,46687
09,栃木県,09204,佐野市,参政党,4279,46687
09,栃木県,09204,佐野市,国民民主党,4655,46687
09,栃木県,09204,佐野市,減税日本・ゆうこく連合,557,46687
09,栃木県,09205,鹿沼市,中道改革連合,8134,39418
