pref_code,pref_name,muni_code,muni_name,party_name,votes,valid_votes
10,群馬県,10201,前橋市,中道改革連合,27625,137586
10,群馬県,10201,前橋市,日本保守党,3272,137586
10,群馬県,10201,前橋市,チームみらい,11310,137586
10,群馬県,10201,前橋市,自由民主党,49245,137586
10,群馬県,10201,前橋市,日本維新の会,6786,137586
10,群馬県,10201,前橋市,れいわ新選組,4293,137586
10,群馬県,10201,前橋市,社会民主党,1731,137586
10,群馬県,10201,前橋市,日本共産党,7164,137586
10,群馬県,10201,前橋市,参政党,12565,137586
10,群馬県,10201,前橋市,国民民主党,11746,137586
10,群馬県,10201,前橋市,減税日本・ゆうこく連合,1849,137586
10,群馬県,10202,高崎市,中道改革連合,29167,168567
10,群馬県,10202,高崎市,日本保守党,4031,168567
10,群馬県,10202,高崎市,チームみらい,13217,168567
10,群馬県,10202,高崎市,自由民主党,62183,168567
10,群馬県,10202,高崎市,日本維新の会,8078,168567
10,群馬県,10202,高崎市,れいわ新選組,5019,168567
10,群馬県,10202,高崎市,社会民主党,2094,168567
10,群馬県,10202,高崎市,日本共産党,7660,168567
10,群馬県,10202,高崎市,参政党,19911,168567
10,群馬県,10202,高崎市,国民民主党,15014,168567
10,群馬県,10202,高崎市,減税日本・ゆうこく連合,2193,168567
10,群馬県,10203,桐生市,中道改革連合,7900,42941
10,群馬県,10203,桐生市,日本保守党,1101,42941
10,群馬県,10203,桐生市,チームみらい,2880,42941
10,群馬県,10203,桐生市,自由民主党,16896,42941
10,群馬県,10203,桐生市,日本維新の会,1972,42941
10,群馬県,10203,桐生市,れいわ新選組,1435,42941
10,群馬県,10203,桐生市,社会民主党,438,42941
10,群馬県,10203,桐生市,日本共産党,2203,42941
10,群馬県,10203,桐生市,参政党,3829,42941
10,群馬県,10203,桐生市,国民民主党,3708,42941
10,群馬県,10203,桐生市,減税日本・ゆうこく連合,579,42941
10,群馬県,10204,伊勢崎市,中道改革連合,13394,84070
10,群馬県,10204,伊勢崎市,日本保守党,3183,84070
10,群馬県,10204,伊勢崎市,チームみらい,5563,84070
10,群馬県,10204,伊勢崎市,自由民主党,31494,84070
10,群馬県,10204,伊勢崎市,日本維新の会,3635,84070
10,群馬県,10204,伊勢崎市,れいわ新選組,2557,84070
10,群馬県,10204,伊勢崎市,社会民主党,831,84070
10,群馬県,10204,伊勢崎市,日本共産党,3454,84070
10,群馬県,10204,伊勢崎市,参政党,9322,84070
10,群馬県,10204,伊勢崎市,国民民主党,9663,84070
10,群馬県,10204,伊勢崎市,減税日本・ゆうこく連合,974,84070
10,群馬県,10205,太田市,中道改革連合,19455,86385
10,群馬県,10205,太田市,日本保守党,2258,86385
10,群馬県,10205,太田市,チームみらい,5539,86385
10,群馬県,10205,太田市,自由民主党,31681,86385
10,群馬県,10205,太田市,日本維新の会,3881,86385
10,群馬県,10205,太田市,れいわ新選組,2620,86385
10,群馬県,10205,太田市,社会民主党,962,86385
10,群馬県,10205,太田市,日本共産党,2566,86385
10,群馬県,10205,太田市,参政党,8282,86385
10,群馬県,10205,太田市,国民民主党,8043,86385
10,群馬県,10205,太田市,減税日本・ゆうこく連合,1098,86385
10,群馬県,10206,沼田市,中道改革連合,3536,19508
10,群馬県,10206,沼田市,日本保守党,383,19508
10,群馬県,10206,沼田市,チームみらい,1061,19508
10,群馬県,10206,沼田市,自由民主党,8617,19508
10,群馬県,10206,沼田市,日本維新の会,789,19508
10,群馬県,10206,沼田市,れいわ新選組,554,19508
10,群馬県,10206,沼田市,社会民主党,226,19508
10,群馬県,10206,沼田市,日本共産党,1181,19508
10,群馬県,10206,沼田市,参政党,1635,19508
10,群馬県,10206,沼田市,国民民主党,1327,19508
10,群馬県,10206,沼田市,減税日本・ゆうこく連合,199,19508
10,群馬県,10207,館林市,中道改革連合,6218,31350
10,群馬県,10207,館林市,日本保守党,758,31350
10,群馬県,10207,館林市,チームみらい,2006,31350
10,群馬県,10207,館林市,自由民主党,12412,31350
10,群馬県,10207,館林市,日本維新の会,1398,31350
10,群馬県,10207,館林市,れいわ新選組,1045,31350
10,群馬県,10207,館林市,社会民主党,418,31350
10,群馬県,10207,館林市,日本共産党,1228,31350
10,群馬県,10207,館林市,参政党,2776,31350
10,群馬県,10207,館林市,国民民主党,2666,31350
10,群馬県,10207,館林市,減税日本・ゆうこく連合,425,31350
10,群馬県,10208,渋川市,中道改革連合,5219,30283
10,群馬県,10208,渋川市,日本保守党,633,30283
10,群馬県,10208,渋川市,チームみらい,1956,30283
10,群馬県,10208,渋川市,自由民主党,12035,30283
10,群馬県,10208,渋川市,日本維新の会,1323,30283
10,群馬県,10208,渋川市,れいわ新選組,899,30283
10,群馬県,10208,渋川市,社会民主党,604,30283
10,群馬県,10208,渋川市,日本共産党,1578,30283
10,群馬県,10208,渋川市,参政党,3259,30283
10,群馬県,10208,渋川市,国民民主党,2394,30283
10,群馬県,10208,渋川市,減税日本・ゆうこく連合,383,30283
10,群馬県,10209,藤岡市,中道改革連合,5325,28020
