pref_code,pref_name,muni_code,muni_name,party_name,votes,valid_votes
20,長野県,20422,上松町,日本共産党,165,2206
20,長野県,20422,上松町,日本保守党,26,2206
20,長野県,20422,上松町,国民民主党,257,2206
20,長野県,20422,上松町,自由民主党,935,2206
20,長野県,20422,上松町,社会民主党,111,2206
20,長野県,20422,上松町,れいわ新選組,55,2206
20,長野県,20422,上松町,参政党,120,2206
20,長野県,20422,上松町,中道改革連合,417,2206
20,長野県,20422,上松町,日本維新の会,92,2206
20,長野県,20422,上松町,安楽死制度を考える会,5,2206
20,長野県,20422,上松町,減税日本・ゆうこく連合,23,2206
20,長野県,20203,上田市,日本共産党,4459,73487
20,長野県,20203,上田市,日本保守党,1748,73487
20,長野県,20203,上田市,国民民主党,7192,73487
20,長野県,20203,上田市,自由民主党,24717,73487
20,長野県,20203,上田市,社会民主党,1142,73487
20,長野県,20203,上田市,れいわ新選組,3341,73487
20,長野県,20203,上田市,参政党,6761,73487
20,長野県,20203,上田市,中道改革連合,19109,73487
20,長野県,20203,上田市,日本維新の会,3819,73487
20,長野県,20203,上田市,安楽死制度を考える会,278,73487
20,長野県,20203,上田市,減税日本・ゆうこく連合,921,73487
20,長野県,20411,下條村,日本共産党,142,1805
20,長野県,20411,下條村,日本保守党,22,1805
20,長野県,20411,下條村,国民民主党,157,1805
20,長野県,20411,下條村,自由民主党,653,1805
20,長野県,20411,下條村,社会民主党,56,1805
20,長野県,20411,下條村,れいわ新選組,60,1805
20,長野県,20411,下條村,参政党,142,1805
20,長野県,20411,下條村,中道改革連合,447,1805
20,長野県,20411,下條村,日本維新の会,92,1805
20,長野県,20411,下條村,安楽死制度を考える会,6,1805
20,長野県,20411,下條村,減税日本・ゆうこく連合,28,1805
20,長野県,20361,下諏訪町,日本共産党,879,9123
20,長野県,20361,下諏訪町,日本保守党,177,9123
20,長野県,20361,下諏訪町,国民民主党,1041,9123
20,長野県,20361,下諏訪町,自由民主党,3270,9123
20,長野県,20361,下諏訪町,社会民主党,148,9123
20,長野県,20361,下諏訪町,れいわ新選組,341,9123
20,長野県,20361,下諏訪町,参政党,714,9123
20,長野県,20361,下諏訪町,中道改革連合,1815,9123
20,長野県,20361,下諏訪町,日本維新の会,574,9123
