pref_code,pref_name,muni_code,muni_name,party_name,votes
21,岐阜県,21201,岐阜市,国民民主党,15628
21,岐阜県,21201,岐阜市,チームみらい,12445
21,岐阜県,21201,岐阜市,自由民主党,60484
21,岐阜県,21201,岐阜市,中道改革連合,30058
21,岐阜県,21201,岐阜市,日本維新の会,9601
21,岐阜県,21201,岐阜市,日本保守党,4197
21,岐阜県,21201,岐阜市,日本共産党,6212
21,岐阜県,21201,岐阜市,れいわ新選組,5551
21,岐阜県,21201,岐阜市,参政党,14209
21,岐阜県,21201,岐阜市,社会民主党,1354
21,岐阜県,21201,岐阜市,減税日本・ゆうこく連合,3643
21,岐阜県,21202,大垣市,国民民主党,9246
21,岐阜県,21202,大垣市,チームみらい,4518
21,岐阜県,21202,大垣市,自由民主党,28207
21,岐阜県,21202,大垣市,中道改革連合,9592
21,岐阜県,21202,大垣市,日本維新の会,3933
21,岐阜県,21202,大垣市,日本保守党,1676
21,岐阜県,21202,大垣市,日本共産党,2227
21,岐阜県,21202,大垣市,れいわ新選組,2294
21,岐阜県,21202,大垣市,参政党,5606
21,岐阜県,21202,大垣市,社会民主党,577
21,岐阜県,21202,大垣市,減税日本・ゆうこく連合,1378
21,岐阜県,21203,高山市,国民民主党,3209
21,岐阜県,21203,高山市,チームみらい,2363
21,岐阜県,21203,高山市,自由民主党,21592
21,岐阜県,21203,高山市,中道改革連合,8366
21,岐阜県,21203,高山市,日本維新の会,2031
21,岐阜県,21203,高山市,日本保守党,837
21,岐阜県,21203,高山市,日本共産党,1362
21,岐阜県,21203,高山市,れいわ新選組,1370
21,岐阜県,21203,高山市,参政党,3794
21,岐阜県,21203,高山市,社会民主党,379
21,岐阜県,21203,高山市,減税日本・ゆうこく連合,826
21,岐阜県,21204,多治見市,国民民主党,6740
21,岐阜県,21204,多治見市,チームみらい,3614
21,岐阜県,21204,多治見市,自由民主党,18702
21,岐阜県,21204,多治見市,中道改革連合,10367
21,岐阜県,21204,多治見市,日本維新の会,3196
21,岐阜県,21204,多治見市,日本保守党,1228
21,岐阜県,21204,多治見市,日本共産党,1593
21,岐阜県,21204,多治見市,れいわ新選組,1701
21,岐阜県,21204,多治見市,参政党,3804
21,岐阜県,21204,多治見市,社会民主党,470
21,岐阜県,21204,多治見市,減税日本・ゆうこく連合,1297
