pref_code,pref_name,muni_code,muni_name,party_name,votes
25,滋賀県,25201,大津市,社会民主党,1574
25,滋賀県,25201,大津市,日本共産党,9681
25,滋賀県,25201,大津市,参政党,10174
25,滋賀県,25201,大津市,れいわ新選組,4762
25,滋賀県,25201,大津市,中道改革連合,20489
25,滋賀県,25201,大津市,チームみらい,12102
25,滋賀県,25201,大津市,国民民主党,17322
25,滋賀県,25201,大津市,自由民主党,52830
25,滋賀県,25201,大津市,日本保守党,4068
25,滋賀県,25201,大津市,日本維新の会,26052
25,滋賀県,25201,大津市,減税日本・ゆうこく連合,1866
25,滋賀県,25202,彦根市,社会民主党,414
25,滋賀県,25202,彦根市,日本共産党,1953
25,滋賀県,25202,彦根市,参政党,3255
25,滋賀県,25202,彦根市,れいわ新選組,1563
25,滋賀県,25202,彦根市,中道改革連合,6846
25,滋賀県,25202,彦根市,チームみらい,3207
25,滋賀県,25202,彦根市,国民民主党,4022
25,滋賀県,25202,彦根市,自由民主党,16543
25,滋賀県,25202,彦根市,日本保守党,1232
25,滋賀県,25202,彦根市,日本維新の会,7423
25,滋賀県,25202,彦根市,減税日本・ゆうこく連合,547
25,滋賀県,25203,長浜市,社会民主党,454
25,滋賀県,25203,長浜市,日本共産党,2530
25,滋賀県,25203,長浜市,参政党,3936
25,滋賀県,25203,長浜市,れいわ新選組,1852
25,滋賀県,25203,長浜市,中道改革連合,6564
25,滋賀県,25203,長浜市,チームみらい,2890
25,滋賀県,25203,長浜市,国民民主党,4083
25,滋賀県,25203,長浜市,自由民主党,22937
25,滋賀県,25203,長浜市,日本保守党,1103
25,滋賀県,25203,長浜市,日本維新の会,7527
25,滋賀県,25203,長浜市,減税日本・ゆうこく連合,539
25,滋賀県,25204,近江八幡市,社会民主党,382
25,滋賀県,25204,近江八幡市,日本共産党,1911
25,滋賀県,25204,近江八幡市,参政党,2730
25,滋賀県,25204,近江八幡市,れいわ新選組,1232
25,滋賀県,25204,近江八幡市,中道改革連合,5177
25,滋賀県,25204,近江八幡市,チームみらい,2235
25,滋賀県,25204,近江八幡市,国民民主党,3297
25,滋賀県,25204,近江八幡市,自由民主党,13678
25,滋賀県,25204,近江八幡市,日本保守党,837
25,滋賀県,25204,近江八幡市,日本維新の会,6464
25,滋賀県,25204,近江八幡市,減税日本・ゆうこく連合,390
25,滋賀県,25206,草津市,社会民主党,539
25,滋賀県,25206,草津市,日本共産党,2499
25,滋賀県,25206,草津市,参政党,5150
25,滋賀県,25206,草津市,れいわ新選組,2081
25,滋賀県,25206,草津市,中道改革連合,7601
25,滋賀県,25206,草津市,チームみらい,5265
25,滋賀県,25206,草津市,国民民主党,6490
25,滋賀県,25206,草津市,自由民主党,22157
25,滋賀県,25206,草津市,日本保守党,1658
25,滋賀県,25206,草津市,日本維新の会,10947
25,滋賀県,25206,草津市,減税日本・ゆうこく連合,647
25,滋賀県,25207,守山市,社会民主党,335
25,滋賀県,25207,守山市,日本共産党,1650
25,滋賀県,25207,守山市,参政党,3694
25,滋賀県,25207,守山市,れいわ新選組,1347
25,滋賀県,25207,守山市,中道改革連合,4434
25,滋賀県,25207,守山市,チームみらい,3046
25,滋賀県,25207,守山市,国民民主党,3654
25,滋賀県,25207,守山市,自由民主党,14840
25,滋賀県,25207,守山市,日本保守党,1074
25,滋賀県,25207,守山市,日本維新の会,6396
25,滋賀県,25207,守山市,減税日本・ゆうこく連合,376
25,滋賀県,25208,栗東市,社会民主党,229
25,滋賀県,25208,栗東市,日本共産党,1226
25,滋賀県,25208,栗東市,参政党,2829
25,滋賀県,25208,栗東市,れいわ新選組,1170
25,滋賀県,25208,栗東市,中道改革連合,3559
25,滋賀県,25208,栗東市,チームみらい,2163
25,滋賀県,25208,栗東市,国民民主党,2779
25,滋賀県,25208,栗東市,自由民主党,11207
25,滋賀県,25208,栗東市,日本保守党,760
25,滋賀県,25208,栗東市,日本維新の会,4883
25,滋賀県,25208,栗東市,減税日本・ゆうこく連合,394
25,滋賀県,25209,甲賀市,社会民主党,317
25,滋賀県,25209,甲賀市,日本共産党,2048
25,滋賀県,25209,甲賀市,参政党,3307
25,滋賀県,25209,甲賀市,れいわ新選組,1480
25,滋賀県,25209,甲賀市,中道改革連合,5623
25,滋賀県,25209,甲賀市,チームみらい,2109
25,滋賀県,25209,甲賀市,国民民主党,2829
25,滋賀県,25209,甲賀市,自由民主党,15546
25,滋賀県,25209,甲賀市,日本保守党,855
25,滋賀県,25209,甲賀市,日本維新の会,5802
