pref_code,pref_name,muni_code,muni_name,party_name,votes
27,大阪府,27102,大阪市 都島区,社会民主党,343
27,大阪府,27102,大阪市 都島区,日本共産党,2311
27,大阪府,27102,大阪市 都島区,参政党,3603
27,大阪府,27102,大阪市 都島区,れいわ新選組,1348
27,大阪府,27102,大阪市 都島区,中道改革連合,5848
27,大阪府,27102,大阪市 都島区,チームみらい,3534
27,大阪府,27102,大阪市 都島区,国民民主党,3727
27,大阪府,27102,大阪市 都島区,自由民主党,11285
27,大阪府,27102,大阪市 都島区,日本保守党,1722
27,大阪府,27102,大阪市 都島区,日本維新の会,17623
27,大阪府,27102,大阪市 都島区,減税日本・ゆうこく連合,627
27,大阪府,27103,大阪市 福島区,社会民主党,217
27,大阪府,27103,大阪市 福島区,日本共産党,1922
27,大阪府,27103,大阪市 福島区,参政党,2871
27,大阪府,27103,大阪市 福島区,れいわ新選組,895
27,大阪府,27103,大阪市 福島区,中道改革連合,3231
27,大阪府,27103,大阪市 福島区,チームみらい,2958
27,大阪府,27103,大阪市 福島区,国民民主党,3152
27,大阪府,27103,大阪市 福島区,自由民主党,9146
27,大阪府,27103,大阪市 福島区,日本保守党,1424
27,大阪府,27103,大阪市 福島区,日本維新の会,13368
27,大阪府,27103,大阪市 福島区,減税日本・ゆうこく連合,481
27,大阪府,27104,大阪市 此花区,社会民主党,155
27,大阪府,27104,大阪市 此花区,日本共産党,1938
27,大阪府,27104,大阪市 此花区,参政党,1882
27,大阪府,27104,大阪市 此花区,れいわ新選組,1062
27,大阪府,27104,大阪市 此花区,中道改革連合,4276
27,大阪府,27104,大阪市 此花区,チームみらい,1282
27,大阪府,27104,大阪市 此花区,国民民主党,1684
27,大阪府,27104,大阪市 此花区,自由民主党,5712
27,大阪府,27104,大阪市 此花区,日本保守党,907
27,大阪府,27104,大阪市 此花区,日本維新の会,9287
27,大阪府,27104,大阪市 此花区,減税日本・ゆうこく連合,335
27,大阪府,27106,大阪市 西区,社会民主党,304
27,大阪府,27106,大阪市 西区,日本共産党,1653
27,大阪府,27106,大阪市 西区,参政党,3967
27,大阪府,27106,大阪市 西区,れいわ新選組,1188
27,大阪府,27106,大阪市 西区,中道改革連合,3953
27,大阪府,27106,大阪市 西区,チームみらい,3908
27,大阪府,27106,大阪市 西区,国民民主党,3917
27,大阪府,27106,大阪市 西区,自由民主党,11612
27,大阪府,27106,大阪市 西区,日本保守党,2087
27,大阪府,27106,大阪市 西区,日本維新の会,15952
27,大阪府,27106,大阪市 西区,減税日本・ゆうこく連合,832
27,大阪府,27107,大阪市 港区,社会民主党,188
27,大阪府,27107,大阪市 港区,日本共産党,1667
27,大阪府,27107,大阪市 港区,参政党,2615
27,大阪府,27107,大阪市 港区,れいわ新選組,1008
27,大阪府,27107,大阪市 港区,中道改革連合,5415
27,大阪府,27107,大阪市 港区,チームみらい,1721
27,大阪府,27107,大阪市 港区,国民民主党,2251
27,大阪府,27107,大阪市 港区,自由民主党,7635
27,大阪府,27107,大阪市 港区,日本保守党,1174
27,大阪府,27107,大阪市 港区,日本維新の会,11362
