pref_code,pref_name,muni_code,muni_name,party_name,votes
31,鳥取県,31201,鳥取市,中道改革連合,15886
31,鳥取県,31201,鳥取市,社会民主党,745
31,鳥取県,31201,鳥取市,れいわ新選組,1822
31,鳥取県,31201,鳥取市,日本保守党,1552
31,鳥取県,31201,鳥取市,参政党,5153
31,鳥取県,31201,鳥取市,国民民主党,6185
31,鳥取県,31201,鳥取市,自由民主党,23500
31,鳥取県,31201,鳥取市,日本維新の会,3886
31,鳥取県,31201,鳥取市,日本共産党,3056
31,鳥取県,31201,鳥取市,減税日本・ゆうこく連合,823
31,鳥取県,31202,米子市,中道改革連合,15812
31,鳥取県,31202,米子市,社会民主党,585
31,鳥取県,31202,米子市,れいわ新選組,1413
31,鳥取県,31202,米子市,日本保守党,1265
31,鳥取県,31202,米子市,参政党,4057
31,鳥取県,31202,米子市,国民民主党,4102
31,鳥取県,31202,米子市,自由民主党,19345
31,鳥取県,31202,米子市,日本維新の会,2721
31,鳥取県,31202,米子市,日本共産党,1876
31,鳥取県,31202,米子市,減税日本・ゆうこく連合,713
31,鳥取県,31203,倉吉市,中道改革連合,4563
31,鳥取県,31203,倉吉市,社会民主党,246
31,鳥取県,31203,倉吉市,れいわ新選組,519
31,鳥取県,31203,倉吉市,日本保守党,316
31,鳥取県,31203,倉吉市,参政党,1391
31,鳥取県,31203,倉吉市,国民民主党,1426
31,鳥取県,31203,倉吉市,自由民主党,6861
31,鳥取県,31203,倉吉市,日本維新の会,801
31,鳥取県,31203,倉吉市,日本共産党,598
31,鳥取県,31203,倉吉市,減税日本・ゆうこく連合,231
31,鳥取県,31204,境港市,中道改革連合,3219
31,鳥取県,31204,境港市,社会民主党,168
31,鳥取県,31204,境港市,れいわ新選組,358
31,鳥取県,31204,境港市,日本保守党,282
31,鳥取県,31204,境港市,参政党,912
31,鳥取県,31204,境港市,国民民主党,796
31,鳥取県,31204,境港市,自由民主党,5742
31,鳥取県,31204,境港市,日本維新の会,628
31,鳥取県,31204,境港市,日本共産党,513
31,鳥取県,31204,境港市,減税日本・ゆうこく連合,157
31,鳥取県,31302,岩美町,中道改革連合,1107
31,鳥取県,31302,岩美町,社会民主党,56
31,鳥取県,31302,岩美町,れいわ新選組,133
31,鳥取県,31302,岩美町,日本保守党,74
31,鳥取県,31302,岩美町,参政党,355
31,鳥取県,31302,岩美町,国民民主党,368
31,鳥取県,31302,岩美町,自由民主党,1922
31,鳥取県,31302,岩美町,日本維新の会,226
31,鳥取県,31302,岩美町,日本共産党,214
31,鳥取県,31302,岩美町,減税日本・ゆうこく連合,48
31,鳥取県,31325,若桜町,中道改革連合,462
31,鳥取県,31325,若桜町,社会民主党,13
31,鳥取県,31325,若桜町,れいわ新選組,35
31,鳥取県,31325,若桜町,日本保守党,14
31,鳥取県,31325,若桜町,参政党,110
31,鳥取県,31325,若桜町,国民民主党,95
31,鳥取県,31325,若桜町,自由民主党,724
31,鳥取県,31325,若桜町,日本維新の会,57
31,鳥取県,31325,若桜町,日本共産党,74
31,鳥取県,31325,若桜町,減税日本・ゆうこく連合,7
31,鳥取県,31328,智頭町,中道改革連合,713
31,鳥取県,31328,智頭町,社会民主党,58
31,鳥取県,31328,智頭町,れいわ新選組,103
31,鳥取県,31328,智頭町,日本保守党,54
31,鳥取県,31328,智頭町,参政党,214
31,鳥取県,31328,智頭町,国民民主党,195
31,鳥取県,31328,智頭町,自由民主党,1421
31,鳥取県,31328,智頭町,日本維新の会,112
31,鳥取県,31328,智頭町,日本共産党,83
31,鳥取県,31328,智頭町,減税日本・ゆうこく連合,27
31,鳥取県,31329,八頭町,中道改革連合,1911
31,鳥取県,31329,八頭町,社会民主党,73
31,鳥取県,31329,八頭町,れいわ新選組,146
31,鳥取県,31329,八頭町,日本保守党,127
31,鳥取県,31329,八頭町,参政党,520
31,鳥取県,31329,八頭町,国民民主党,566
31,鳥取県,31329,八頭町,自由民主党,3115
31,鳥取県,31329,八頭町,日本維新の会,341
31,鳥取県,31329,八頭町,日本共産党,261
31,鳥取県,31329,八頭町,減税日本・ゆうこく連合,73
31,鳥取県,31364,三朝町,中道改革連合,757
31,鳥取県,31364,三朝町,社会民主党,45
31,鳥取県,31364,三朝町,れいわ新選組,80
31,鳥取県,31364,三朝町,日本保守党,42
31,鳥取県,31364,三朝町,参政党,238
31,鳥取県,31364,三朝町,国民民主党,225
31,鳥取県,31364,三朝町,自由民主党,1264
31,鳥取県,31364,三朝町,日本維新の会,131
31,鳥取県,31364,三朝町,日本共産党,80
31,鳥取県,31364,三朝町,減税日本・ゆうこく連合,24
31,鳥取県,31370,湯梨浜町,中道改革連合,2039
31,鳥取県,31370,湯梨浜町,社会民主党,79
31,鳥取県,31370,湯梨浜町,れいわ新選組,176
31,鳥取県,31370,湯梨浜町,日本保守党,139
31,鳥取県,31370,湯梨浜町,参政党,478
31,鳥取県,31370,湯梨浜町,国民民主党,491
31,鳥取県,31370,湯梨浜町,自由民主党,2712
31,鳥取県,31370,湯梨浜町,日本維新の会,314
31,鳥取県,31370,湯梨浜町,日本共産党,236
31,鳥取県,31370,湯梨浜町,減税日本・ゆうこく連合,75
31,鳥取県,31371,琴浦町,中道改革連合,2216
31,鳥取県,31371,琴浦町,社会民主党,100
31,鳥取県,31371,琴浦町,れいわ新選組,188
31,鳥取県,31371,琴浦町,日本保守党,153
31,鳥取県,31371,琴浦町,参政党,475
31,鳥取県,31371,琴浦町,国民民主党,470
31,鳥取県,31371,琴浦町,自由民主党,2993
31,鳥取県,31371,琴浦町,日本維新の会,285
31,鳥取県,31371,琴浦町,日本共産党,227
31,鳥取県,31371,琴浦町,減税日本・ゆうこく連合,86
31,鳥取県,31372,北栄町,中道改革連合,2140
31,鳥取県,31372,北栄町,社会民主党,73
31,鳥取県,31372,北栄町,れいわ新選組,155
31,鳥取県,31372,北栄町,日本保守党,106
31,鳥取県,31372,北栄町,参政党,438
31,鳥取県,31372,北栄町,国民民主党,386
31,鳥取県,31372,北栄町,自由民主党,2542
31,鳥取県,31372,北栄町,日本維新の会,256
31,鳥取県,31372,北栄町,日本共産党,144
31,鳥取県,31372,北栄町,減税日本・ゆうこく連合,106
31,鳥取県,31384,日吉津村,中道改革連合,498
31,鳥取県,31384,日吉津村,社会民主党,15
31,鳥取県,31384,日吉津村,れいわ新選組,51
31,鳥取県,31384,日吉津村,日本保守党,28
31,鳥取県,31384,日吉津村,参政党,131
31,鳥取県,31384,日吉津村,国民民主党,131
31,鳥取県,31384,日吉津村,自由民主党,689
31,鳥取県,31384,日吉津村,日本維新の会,88
31,鳥取県,31384,日吉津村,日本共産党,82
31,鳥取県,31384,日吉津村,減税日本・ゆうこく連合,15
31,鳥取県,31386,大山町,中道改革連合,2126
31,鳥取県,31386,大山町,社会民主党,80
31,鳥取県,31386,大山町,れいわ新選組,199
31,鳥取県,31386,大山町,日本保守党,133
31,鳥取県,31386,大山町,参政党,485
31,鳥取県,31386,大山町,国民民主党,423
31,鳥取県,31386,大山町,自由民主党,2954
31,鳥取県,31386,大山町,日本維新の会,302
31,鳥取県,31386,大山町,日本共産党,282
31,鳥取県,31386,大山町,減税日本・ゆうこく連合,106
31,鳥取県,31389,南部町,中道改革連合,1434
31,鳥取県,31389,南部町,社会民主党,48
31,鳥取県,31389,南部町,れいわ新選組,117
31,鳥取県,31389,南部町,日本保守党,63
31,鳥取県,31389,南部町,参政党,311
31,鳥取県,31389,南部町,国民民主党,316
31,鳥取県,31389,南部町,自由民主党,1883
31,鳥取県,31389,南部町,日本維新の会,175
31,鳥取県,31389,南部町,日本共産党,228
31,鳥取県,31389,南部町,減税日本・ゆうこく連合,56
31,鳥取県,31390,伯耆町,中道改革連合,1633
31,鳥取県,31390,伯耆町,社会民主党,80
31,鳥取県,31390,伯耆町,れいわ新選組,124
31,鳥取県,31390,伯耆町,日本保守党,95
31,鳥取県,31390,伯耆町,参政党,337
31,鳥取県,31390,伯耆町,国民民主党,323
31,鳥取県,31390,伯耆町,自由民主党,1932
31,鳥取県,31390,伯耆町,日本維新の会,214
31,鳥取県,31390,伯耆町,日本共産党,177
31,鳥取県,31390,伯耆町,減税日本・ゆうこく連合,43
31,鳥取県,31401,日南町,中道改革連合,603
31,鳥取県,31401,日南町,社会民主党,26
31,鳥取県,31401,日南町,れいわ新選組,36
31,鳥取県,31401,日南町,日本保守党,46
31,鳥取県,31401,日南町,参政党,122
31,鳥取県,31401,日南町,国民民主党,102
31,鳥取県,31401,日南町,自由民主党,1011
31,鳥取県,31401,日南町,日本維新の会,69
31,鳥取県,31401,日南町,日本共産党,131
31,鳥取県,31401,日南町,減税日本・ゆうこく連合,24
31,鳥取県,31402,日野町,中道改革連合,448
31,鳥取県,31402,日野町,社会民主党,23
31,鳥取県,31402,日野町,れいわ新選組,28
31,鳥取県,31402,日野町,日本保守党,15
31,鳥取県,31402,日野町,参政党,73
31,鳥取県,31402,日野町,国民民主党,76
31,鳥取県,31402,日野町,自由民主党,702
31,鳥取県,31402,日野町,日本維新の会,52
31,鳥取県,31402,日野町,日本共産党,56
31,鳥取県,31402,日野町,減税日本・ゆうこく連合,12
31,鳥取県,31403,江府町,中道改革連合,426
31,鳥取県,31403,江府町,社会民主党,8
31,鳥取県,31403,江府町,れいわ新選組,37
31,鳥取県,31403,江府町,日本保守党,19
31,鳥取県,31403,江府町,参政党,82
31,鳥取県,31403,江府町,国民民主党,70
31,鳥取県,31403,江府町,自由民主党,637
31,鳥取県,31403,江府町,日本維新の会,45
31,鳥取県,31403,江府町,日本共産党,41
31,鳥取県,31403,江府町,減税日本・ゆうこく連合,13
