pref_code,pref_name,muni_code,muni_name,party_name,votes
41,佐賀県,41201,佐賀市,れいわ新選組,2492
41,佐賀県,41201,佐賀市,日本保守党,1940
41,佐賀県,41201,佐賀市,自由民主党,41382
41,佐賀県,41201,佐賀市,中道改革連合,13914
41,佐賀県,41201,佐賀市,減税日本・ゆうこく連合,15033
41,佐賀県,41201,佐賀市,チームみらい,6127
41,佐賀県,41201,佐賀市,社会民主党,1347
41,佐賀県,41201,佐賀市,日本維新の会,4102
41,佐賀県,41201,佐賀市,参政党,8390
41,佐賀県,41201,佐賀市,国民民主党,7115
41,佐賀県,41201,佐賀市,日本共産党,2208
41,佐賀県,41202,唐津市,れいわ新選組,1530
41,佐賀県,41202,唐津市,日本保守党,965
41,佐賀県,41202,唐津市,自由民主党,26009
41,佐賀県,41202,唐津市,中道改革連合,10258
41,佐賀県,41202,唐津市,減税日本・ゆうこく連合,2793
41,佐賀県,41202,唐津市,チームみらい,2239
41,佐賀県,41202,唐津市,社会民主党,619
41,佐賀県,41202,唐津市,日本維新の会,2069
41,佐賀県,41202,唐津市,参政党,3770
41,佐賀県,41202,唐津市,国民民主党,3134
41,佐賀県,41202,唐津市,日本共産党,1531
41,佐賀県,41203,鳥栖市,れいわ新選組,935
41,佐賀県,41203,鳥栖市,日本保守党,806
41,佐賀県,41203,鳥栖市,自由民主党,12616
41,佐賀県,41203,鳥栖市,中道改革連合,4430
41,佐賀県,41203,鳥栖市,減税日本・ゆうこく連合,3286
41,佐賀県,41203,鳥栖市,チームみらい,2338
41,佐賀県,41203,鳥栖市,社会民主党,669
41,佐賀県,41203,鳥栖市,日本維新の会,1743
41,佐賀県,41203,鳥栖市,参政党,3549
41,佐賀県,41203,鳥栖市,国民民主党,2746
41,佐賀県,41203,鳥栖市,日本共産党,765
41,佐賀県,41204,多久市,れいわ新選組,255
41,佐賀県,41204,多久市,日本保守党,115
41,佐賀県,41204,多久市,自由民主党,3704
41,佐賀県,41204,多久市,中道改革連合,2097
41,佐賀県,41204,多久市,減税日本・ゆうこく連合,722
41,佐賀県,41204,多久市,チームみらい,314
41,佐賀県,41204,多久市,社会民主党,140
41,佐賀県,41204,多久市,日本維新の会,322
41,佐賀県,41204,多久市,参政党,565
41,佐賀県,41204,多久市,国民民主党,498
41,佐賀県,41204,多久市,日本共産党,140
41,佐賀県,41205,伊万里市,れいわ新選組,699
41,佐賀県,41205,伊万里市,日本保守党,419
41,佐賀県,41205,伊万里市,自由民主党,11494
41,佐賀県,41205,伊万里市,中道改革連合,4880
41,佐賀県,41205,伊万里市,減税日本・ゆうこく連合,1456
41,佐賀県,41205,伊万里市,チームみらい,955
41,佐賀県,41205,伊万里市,社会民主党,324
41,佐賀県,41205,伊万里市,日本維新の会,1000
41,佐賀県,41205,伊万里市,参政党,1651
41,佐賀県,41205,伊万里市,国民民主党,1506
41,佐賀県,41205,伊万里市,日本共産党,349
41,佐賀県,41206,武雄市,れいわ新選組,678
41,佐賀県,41206,武雄市,日本保守党,339
41,佐賀県,41206,武雄市,自由民主党,10254
41,佐賀県,41206,武雄市,中道改革連合,4276
41,佐賀県,41206,武雄市,減税日本・ゆうこく連合,1573
41,佐賀県,41206,武雄市,チームみらい,1002
41,佐賀県,41206,武雄市,社会民主党,272
41,佐賀県,41206,武雄市,日本維新の会,879
