pref_code,pref_name,muni_code,muni_name,party_name,votes
45,宮崎県,45201,宮崎市,れいわ新選組,4818
45,宮崎県,45201,宮崎市,日本保守党,3245
45,宮崎県,45201,宮崎市,自由民主党,63073
45,宮崎県,45201,宮崎市,中道改革連合,36212
45,宮崎県,45201,宮崎市,減税日本・ゆうこく連合,2460
45,宮崎県,45201,宮崎市,チームみらい,8637
45,宮崎県,45201,宮崎市,社会民主党,4157
45,宮崎県,45201,宮崎市,日本維新の会,14365
45,宮崎県,45201,宮崎市,参政党,12537
45,宮崎県,45201,宮崎市,国民民主党,14167
45,宮崎県,45201,宮崎市,日本共産党,4457
45,宮崎県,45202,都城市,れいわ新選組,2110
45,宮崎県,45202,都城市,日本保守党,1202
45,宮崎県,45202,都城市,自由民主党,27337
45,宮崎県,45202,都城市,中道改革連合,10453
45,宮崎県,45202,都城市,減税日本・ゆうこく連合,859
45,宮崎県,45202,都城市,チームみらい,2873
45,宮崎県,45202,都城市,社会民主党,1348
45,宮崎県,45202,都城市,日本維新の会,3480
45,宮崎県,45202,都城市,参政党,5742
45,宮崎県,45202,都城市,国民民主党,4220
45,宮崎県,45202,都城市,日本共産党,1972
45,宮崎県,45203,延岡市,れいわ新選組,1772
45,宮崎県,45203,延岡市,日本保守党,1030
45,宮崎県,45203,延岡市,自由民主党,19796
45,宮崎県,45203,延岡市,中道改革連合,9727
45,宮崎県,45203,延岡市,減税日本・ゆうこく連合,604
45,宮崎県,45203,延岡市,チームみらい,1877
45,宮崎県,45203,延岡市,社会民主党,1175
45,宮崎県,45203,延岡市,日本維新の会,2544
45,宮崎県,45203,延岡市,参政党,3564
45,宮崎県,45203,延岡市,国民民主党,8995
45,宮崎県,45203,延岡市,日本共産党,1383
45,宮崎県,45204,日南市,れいわ新選組,659
45,宮崎県,45204,日南市,日本保守党,264
45,宮崎県,45204,日南市,自由民主党,8768
45,宮崎県,45204,日南市,中道改革連合,4162
45,宮崎県,45204,日南市,減税日本・ゆうこく連合,223
45,宮崎県,45204,日南市,チームみらい,680
45,宮崎県,45204,日南市,社会民主党,736
45,宮崎県,45204,日南市,日本維新の会,1008
45,宮崎県,45204,日南市,参政党,1732
45,宮崎県,45204,日南市,国民民主党,1198
45,宮崎県,45204,日南市,日本共産党,521
45,宮崎県,45205,小林市,れいわ新選組,589
45,宮崎県,45205,小林市,日本保守党,275
45,宮崎県,45205,小林市,自由民主党,8278
45,宮崎県,45205,小林市,中道改革連合,2806
45,宮崎県,45205,小林市,減税日本・ゆうこく連合,208
45,宮崎県,45205,小林市,チームみらい,639
45,宮崎県,45205,小林市,社会民主党,410
45,宮崎県,45205,小林市,日本維新の会,905
45,宮崎県,45205,小林市,参政党,1538
45,宮崎県,45205,小林市,国民民主党,1094
45,宮崎県,45205,小林市,日本共産党,464
45,宮崎県,45206,日向市,れいわ新選組,945
45,宮崎県,45206,日向市,日本保守党,470
45,宮崎県,45206,日向市,自由民主党,10501
45,宮崎県,45206,日向市,中道改革連合,4857
45,宮崎県,45206,日向市,減税日本・ゆうこく連合,309
45,宮崎県,45206,日向市,チームみらい,876
45,宮崎県,45206,日向市,社会民主党,609
45,宮崎県,45206,日向市,日本維新の会,1317
45,宮崎県,45206,日向市,参政党,1749
45,宮崎県,45206,日向市,国民民主党,3919
45,宮崎県,45206,日向市,日本共産党,763
45,宮崎県,45207,串間市,れいわ新選組,184
45,宮崎県,45207,串間市,日本保守党,107
45,宮崎県,45207,串間市,自由民主党,3568
45,宮崎県,45207,串間市,中道改革連合,1375
45,宮崎県,45207,串間市,減税日本・ゆうこく連合,73
45,宮崎県,45207,串間市,チームみらい,225
45,宮崎県,45207,串間市,社会民主党,177
45,宮崎県,45207,串間市,日本維新の会,298
45,宮崎県,45207,串間市,参政党,528
45,宮崎県,45207,串間市,国民民主党,406
45,宮崎県,45207,串間市,日本共産党,182
45,宮崎県,45208,西都市,れいわ新選組,345
45,宮崎県,45208,西都市,日本保守党,221
45,宮崎県,45208,西都市,自由民主党,5983
45,宮崎県,45208,西都市,中道改革連合,2377
45,宮崎県,45208,西都市,減税日本・ゆうこく連合,121
45,宮崎県,45208,西都市,チームみらい,368
45,宮崎県,45208,西都市,社会民主党,277
45,宮崎県,45208,西都市,日本維新の会,657
45,宮崎県,45208,西都市,参政党,816
45,宮崎県,45208,西都市,国民民主党,1357
45,宮崎県,45208,西都市,日本共産党,335
45,宮崎県,45209,えびの市,れいわ新選組,262
45,宮崎県,45209,えびの市,日本保守党,120
45,宮崎県,45209,えびの市,自由民主党,3921
45,宮崎県,45209,えびの市,中道改革連合,1319
45,宮崎県,45209,えびの市,減税日本・ゆうこく連合,52
45,宮崎県,45209,えびの市,チームみらい,281
45,宮崎県,45209,えびの市,社会民主党,213
45,宮崎県,45209,えびの市,日本維新の会,393
45,宮崎県,45209,えびの市,参政党,851
45,宮崎県,45209,えびの市,国民民主党,455
45,宮崎県,45209,えびの市,日本共産党,192
45,宮崎県,45341,三股町,れいわ新選組,376
45,宮崎県,45341,三股町,日本保守党,174
45,宮崎県,45341,三股町,自由民主党,4301
45,宮崎県,45341,三股町,中道改革連合,1775
45,宮崎県,45341,三股町,減税日本・ゆうこく連合,144
45,宮崎県,45341,三股町,チームみらい,453
45,宮崎県,45341,三股町,社会民主党,227
45,宮崎県,45341,三股町,日本維新の会,547
45,宮崎県,45341,三股町,参政党,1010
45,宮崎県,45341,三股町,国民民主党,678
45,宮崎県,45341,三股町,日本共産党,288
45,宮崎県,45361,高原町,れいわ新選組,130
45,宮崎県,45361,高原町,日本保守党,63
45,宮崎県,45361,高原町,自由民主党,1945
45,宮崎県,45361,高原町,中道改革連合,635
45,宮崎県,45361,高原町,減税日本・ゆうこく連合,46
45,宮崎県,45361,高原町,チームみらい,125
45,宮崎県,45361,高原町,社会民主党,121
45,宮崎県,45361,高原町,日本維新の会,198
45,宮崎県,45361,高原町,参政党,347
45,宮崎県,45361,高原町,国民民主党,238
45,宮崎県,45361,高原町,日本共産党,125
45,宮崎県,45382,国富町,れいわ新選組,216
45,宮崎県,45382,国富町,日本保守党,129
45,宮崎県,45382,国富町,自由民主党,3722
45,宮崎県,45382,国富町,中道改革連合,1849
45,宮崎県,45382,国富町,減税日本・ゆうこく連合,122
45,宮崎県,45382,国富町,チームみらい,265
45,宮崎県,45382,国富町,社会民主党,175
45,宮崎県,45382,国富町,日本維新の会,554
45,宮崎県,45382,国富町,参政党,621
45,宮崎県,45382,国富町,国民民主党,526
45,宮崎県,45382,国富町,日本共産党,194
45,宮崎県,45383,綾町,れいわ新選組,137
45,宮崎県,45383,綾町,日本保守党,47
45,宮崎県,45383,綾町,自由民主党,1543
45,宮崎県,45383,綾町,中道改革連合,793
45,宮崎県,45383,綾町,減税日本・ゆうこく連合,65
45,宮崎県,45383,綾町,チームみらい,146
45,宮崎県,45383,綾町,社会民主党,93
45,宮崎県,45383,綾町,日本維新の会,302
45,宮崎県,45383,綾町,参政党,334
45,宮崎県,45383,綾町,国民民主党,215
45,宮崎県,45383,綾町,日本共産党,202
45,宮崎県,45401,高鍋町,れいわ新選組,261
45,宮崎県,45401,高鍋町,日本保守党,164
45,宮崎県,45401,高鍋町,自由民主党,3737
45,宮崎県,45401,高鍋町,中道改革連合,1739
45,宮崎県,45401,高鍋町,減税日本・ゆうこく連合,103
45,宮崎県,45401,高鍋町,チームみらい,332
45,宮崎県,45401,高鍋町,社会民主党,247
45,宮崎県,45401,高鍋町,日本維新の会,505
45,宮崎県,45401,高鍋町,参政党,699
45,宮崎県,45401,高鍋町,国民民主党,1093
45,宮崎県,45401,高鍋町,日本共産党,257
45,宮崎県,45402,新富町,れいわ新選組,245
45,宮崎県,45402,新富町,日本保守党,132
45,宮崎県,45402,新富町,自由民主党,3684
45,宮崎県,45402,新富町,中道改革連合,1321
45,宮崎県,45402,新富町,減税日本・ゆうこく連合,114
45,宮崎県,45402,新富町,チームみらい,259
45,宮崎県,45402,新富町,社会民主党,149
45,宮崎県,45402,新富町,日本維新の会,362
45,宮崎県,45402,新富町,参政党,592
45,宮崎県,45402,新富町,国民民主党,878
45,宮崎県,45402,新富町,日本共産党,206
45,宮崎県,45403,西米良村,れいわ新選組,14
45,宮崎県,45403,西米良村,日本保守党,2
45,宮崎県,45403,西米良村,自由民主党,486
45,宮崎県,45403,西米良村,中道改革連合,65
45,宮崎県,45403,西米良村,減税日本・ゆうこく連合,5
45,宮崎県,45403,西米良村,チームみらい,21
45,宮崎県,45403,西米良村,社会民主党,14
45,宮崎県,45403,西米良村,日本維新の会,16
45,宮崎県,45403,西米良村,参政党,27
45,宮崎県,45403,西米良村,国民民主党,70
45,宮崎県,45403,西米良村,日本共産党,4
45,宮崎県,45404,木城町,れいわ新選組,99
45,宮崎県,45404,木城町,日本保守党,40
45,宮崎県,45404,木城町,自由民主党,917
45,宮崎県,45404,木城町,中道改革連合,405
45,宮崎県,45404,木城町,減税日本・ゆうこく連合,21
45,宮崎県,45404,木城町,チームみらい,71
45,宮崎県,45404,木城町,社会民主党,63
45,宮崎県,45404,木城町,日本維新の会,116
45,宮崎県,45404,木城町,参政党,148
45,宮崎県,45404,木城町,国民民主党,275
45,宮崎県,45404,木城町,日本共産党,53
45,宮崎県,45405,川南町,れいわ新選組,216
45,宮崎県,45405,川南町,日本保守党,90
45,宮崎県,45405,川南町,自由民主党,3072
45,宮崎県,45405,川南町,中道改革連合,1175
45,宮崎県,45405,川南町,減税日本・ゆうこく連合,87
45,宮崎県,45405,川南町,チームみらい,195
45,宮崎県,45405,川南町,社会民主党,170
45,宮崎県,45405,川南町,日本維新の会,311
45,宮崎県,45405,川南町,参政党,496
45,宮崎県,45405,川南町,国民民主党,925
45,宮崎県,45405,川南町,日本共産党,208
45,宮崎県,45406,都農町,れいわ新選組,185
45,宮崎県,45406,都農町,日本保守党,61
45,宮崎県,45406,都農町,自由民主党,2043
45,宮崎県,45406,都農町,中道改革連合,805
45,宮崎県,45406,都農町,減税日本・ゆうこく連合,72
45,宮崎県,45406,都農町,チームみらい,166
45,宮崎県,45406,都農町,社会民主党,133
45,宮崎県,45406,都農町,日本維新の会,250
45,宮崎県,45406,都農町,参政党,379
45,宮崎県,45406,都農町,国民民主党,757
45,宮崎県,45406,都農町,日本共産党,126
45,宮崎県,45421,門川町,れいわ新選組,243
45,宮崎県,45421,門川町,日本保守党,127
45,宮崎県,45421,門川町,自由民主党,3366
45,宮崎県,45421,門川町,中道改革連合,1557
45,宮崎県,45421,門川町,減税日本・ゆうこく連合,93
45,宮崎県,45421,門川町,チームみらい,214
45,宮崎県,45421,門川町,社会民主党,183
45,宮崎県,45421,門川町,日本維新の会,357
45,宮崎県,45421,門川町,参政党,553
45,宮崎県,45421,門川町,国民民主党,1111
45,宮崎県,45421,門川町,日本共産党,246
45,宮崎県,45429,諸塚村,れいわ新選組,20
45,宮崎県,45429,諸塚村,日本保守党,8
45,宮崎県,45429,諸塚村,自由民主党,689
45,宮崎県,45429,諸塚村,中道改革連合,62
45,宮崎県,45429,諸塚村,減税日本・ゆうこく連合,5
45,宮崎県,45429,諸塚村,チームみらい,24
45,宮崎県,45429,諸塚村,社会民主党,8
45,宮崎県,45429,諸塚村,日本維新の会,54
45,宮崎県,45429,諸塚村,参政党,40
45,宮崎県,45429,諸塚村,国民民主党,96
45,宮崎県,45429,諸塚村,日本共産党,10
45,宮崎県,45430,椎葉村,れいわ新選組,24
45,宮崎県,45430,椎葉村,日本保守党,10
45,宮崎県,45430,椎葉村,自由民主党,927
45,宮崎県,45430,椎葉村,中道改革連合,189
45,宮崎県,45430,椎葉村,減税日本・ゆうこく連合,11
45,宮崎県,45430,椎葉村,チームみらい,27
45,宮崎県,45430,椎葉村,社会民主党,24
45,宮崎県,45430,椎葉村,日本維新の会,50
45,宮崎県,45430,椎葉村,参政党,52
45,宮崎県,45430,椎葉村,国民民主党,189
45,宮崎県,45430,椎葉村,日本共産党,19
45,宮崎県,45431,美郷町,れいわ新選組,93
45,宮崎県,45431,美郷町,日本保守党,24
45,宮崎県,45431,美郷町,自由民主党,1502
45,宮崎県,45431,美郷町,中道改革連合,448
45,宮崎県,45431,美郷町,減税日本・ゆうこく連合,26
45,宮崎県,45431,美郷町,チームみらい,61
45,宮崎県,45431,美郷町,社会民主党,84
45,宮崎県,45431,美郷町,日本維新の会,118
45,宮崎県,45431,美郷町,参政党,181
45,宮崎県,45431,美郷町,国民民主党,391
45,宮崎県,45431,美郷町,日本共産党,68
45,宮崎県,45441,高千穂町,れいわ新選組,161
45,宮崎県,45441,高千穂町,日本保守党,64
45,宮崎県,45441,高千穂町,自由民主党,3424
45,宮崎県,45441,高千穂町,中道改革連合,910
45,宮崎県,45441,高千穂町,減税日本・ゆうこく連合,58
45,宮崎県,45441,高千穂町,チームみらい,153
45,宮崎県,45441,高千穂町,社会民主党,144
45,宮崎県,45441,高千穂町,日本維新の会,254
45,宮崎県,45441,高千穂町,参政党,312
45,宮崎県,45441,高千穂町,国民民主党,720
45,宮崎県,45441,高千穂町,日本共産党,87
45,宮崎県,45442,日之影町,れいわ新選組,58
45,宮崎県,45442,日之影町,日本保守党,15
45,宮崎県,45442,日之影町,自由民主党,1167
45,宮崎県,45442,日之影町,中道改革連合,309
45,宮崎県,45442,日之影町,減税日本・ゆうこく連合,30
45,宮崎県,45442,日之影町,チームみらい,51
45,宮崎県,45442,日之影町,社会民主党,65
45,宮崎県,45442,日之影町,日本維新の会,57
45,宮崎県,45442,日之影町,参政党,99
45,宮崎県,45442,日之影町,国民民主党,324
45,宮崎県,45442,日之影町,日本共産党,28
45,宮崎県,45443,五ヶ瀬町,れいわ新選組,63
45,宮崎県,45443,五ヶ瀬町,日本保守党,24
45,宮崎県,45443,五ヶ瀬町,自由民主党,1104
45,宮崎県,45443,五ヶ瀬町,中道改革連合,223
45,宮崎県,45443,五ヶ瀬町,減税日本・ゆうこく連合,22
45,宮崎県,45443,五ヶ瀬町,チームみらい,45
45,宮崎県,45443,五ヶ瀬町,社会民主党,68
45,宮崎県,45443,五ヶ瀬町,日本維新の会,68
45,宮崎県,45443,五ヶ瀬町,参政党,92
45,宮崎県,45443,五ヶ瀬町,国民民主党,214
45,宮崎県,45443,五ヶ瀬町,日本共産党,28
